start_date,end_date,dry_days,pi_slope_per_day,pi_start,pi_end,pi_drop,pi_recovery_after_rain,is_soiling,meter
2021-10-01,2021-10-28,17,-0.021988,1.6742,0.9617,0.7125,0.6114,True,solar.bun_dw#realenergyintotheload#kwh
2021-11-13,2022-01-25,11,0.005875,0.6114,1.2544,-0.643,1.0232,False,solar.bun_dw#realenergyintotheload#kwh
2022-01-30,2022-02-14,15,0.001074,1.0871,1.2303,-0.1432,0.4375,False,solar.bun_dw#realenergyintotheload#kwh
2022-03-16,2022-04-17,18,0.039339,0.4375,1.1411,-0.7037,0.2082,False,solar.bun_dw#realenergyintotheload#kwh
2022-04-20,2022-05-26,16,-0.048709,0.9906,0.4364,0.5542,0.7164,True,solar.bun_dw#realenergyintotheload#kwh
2022-06-06,2022-07-16,35,0.002862,0.885,0.3172,0.5677,0.7983,False,solar.bun_dw#realenergyintotheload#kwh
2022-07-18,2022-08-28,31,0.000453,0.7424,1.1075,-0.3652,0.4075,False,solar.bun_dw#realenergyintotheload#kwh
2022-08-30,2022-09-07,9,0.062986,0.4075,1.3498,-0.9424,0.5943,False,solar.bun_dw#realenergyintotheload#kwh
2022-09-09,2022-09-26,18,0.024179,0.8043,0.6016,0.2027,0.5874,False,solar.bun_dw#realenergyintotheload#kwh
2022-10-08,2022-10-18,9,0.036772,0.7576,1.081,-0.3234,0.6857,False,solar.bun_dw#realenergyintotheload#kwh
2022-10-23,2023-06-05,55,0.002048,0.6857,0.9641,-0.2784,0.6226,False,solar.bun_dw#realenergyintotheload#kwh
2023-06-11,2023-08-21,48,0.00791,0.961,1.2843,-0.3233,0.8908,False,solar.bun_dw#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.01979,0.8908,1.1927,-0.3019,1.1006,False,solar.bun_dw#realenergyintotheload#kwh
2023-10-08,2023-12-11,10,-0.106804,1.1006,0.1995,0.9011,0.3946,True,solar.bun_dw#realenergyintotheload#kwh
2024-01-24,2024-11-16,96,0.000701,1.2271,1.5444,-0.3174,0.6439,False,solar.bun_dw#realenergyintotheload#kwh
2024-11-18,2024-11-23,6,0.016923,0.9089,0.8078,0.1011,0.2443,False,solar.bun_dw#realenergyintotheload#kwh
2024-12-02,2025-01-05,35,-6e-05,1.2147,0.6437,0.571,0.3048,False,solar.bun_dw#realenergyintotheload#kwh
2025-01-07,2025-03-15,63,-0.00088,0.0233,0.7286,-0.7053,0.9886,False,solar.bun_dw#realenergyintotheload#kwh
2025-03-21,2025-06-07,78,-0.000969,0.4731,0.6919,-0.2188,0.4218,False,solar.bun_dw#realenergyintotheload#kwh
2025-06-09,2025-07-21,31,0.004076,0.4218,1.0745,-0.6527,0.5086,False,solar.bun_dw#realenergyintotheload#kwh
2025-07-27,2025-08-12,13,0.036633,0.5086,0.6433,-0.1347,,False,solar.bun_dw#realenergyintotheload#kwh
2020-04-01,2020-04-28,28,3.1e-05,0.0001,0.0007,-0.0006,0.0007,False,solar.bun_hs1#realenergyintotheload#kwh
2020-04-30,2020-05-08,9,0.0,0.0007,0.0007,0.0,0.0007,False,solar.bun_hs1#realenergyintotheload#kwh
2020-05-10,2020-08-06,42,-0.096167,0.0007,0.7366,-0.7359,0.5982,True,solar.bun_hs1#realenergyintotheload#kwh
2020-08-08,2020-10-16,61,7.6e-05,0.5982,1.4709,-0.8728,1.0702,False,solar.bun_hs1#realenergyintotheload#kwh
2020-10-18,2021-02-04,16,0.035561,1.1566,1.2097,-0.0531,0.731,False,solar.bun_hs1#realenergyintotheload#kwh
2021-02-06,2021-02-17,9,0.064808,0.6583,1.4198,-0.7615,0.5848,False,solar.bun_hs1#realenergyintotheload#kwh
2021-03-24,2021-06-07,36,0.008497,0.6216,0.4222,0.1994,0.5818,False,solar.bun_hs1#realenergyintotheload#kwh
2021-06-11,2021-09-28,94,0.003329,0.5818,1.4057,-0.8239,0.4982,False,solar.bun_hs1#realenergyintotheload#kwh
2021-10-01,2021-10-28,18,-0.019747,1.5577,0.8682,0.6895,0.5904,True,solar.bun_hs1#realenergyintotheload#kwh
2021-11-13,2022-01-25,15,0.002084,0.5904,1.2525,-0.6621,0.996,False,solar.bun_hs1#realenergyintotheload#kwh
2022-01-30,2022-02-14,15,0.007327,1.0292,1.156,-0.1268,0.413,False,solar.bun_hs1#realenergyintotheload#kwh
2022-03-16,2022-04-17,18,0.041465,0.413,1.1938,-0.7808,0.2118,False,solar.bun_hs1#realenergyintotheload#kwh
2022-04-20,2022-05-26,17,-0.053539,1.0265,0.4276,0.5989,0.7333,True,solar.bun_hs1#realenergyintotheload#kwh
2022-06-06,2022-07-16,35,0.003259,0.9856,0.3094,0.6762,0.8891,False,solar.bun_hs1#realenergyintotheload#kwh
2022-07-18,2022-08-28,29,0.001282,0.7861,1.0061,-0.22,0.3889,False,solar.bun_hs1#realenergyintotheload#kwh
2022-08-30,2022-09-26,27,0.006494,0.3889,0.5793,-0.1903,0.5802,False,solar.bun_hs1#realenergyintotheload#kwh
2022-09-28,2022-10-04,5,-8.1e-05,0.3464,0.6906,-0.3442,0.2712,False,solar.bun_hs1#realenergyintotheload#kwh
2022-10-08,2022-10-18,8,0.059476,0.7341,1.1345,-0.4004,0.683,False,solar.bun_hs1#realenergyintotheload#kwh
2022-10-25,2023-06-05,47,0.004461,1.0155,1.1012,-0.0857,0.6653,False,solar.bun_hs1#realenergyintotheload#kwh
2023-06-11,2023-08-21,47,0.006488,1.087,1.4493,-0.3623,0.9489,False,solar.bun_hs1#realenergyintotheload#kwh
2023-08-23,2023-09-30,29,0.018268,0.9489,1.1853,-0.2364,1.1573,False,solar.bun_hs1#realenergyintotheload#kwh
2023-10-08,2023-12-11,5,-0.331467,1.1573,0.1782,0.979,0.4005,True,solar.bun_hs1#realenergyintotheload#kwh
2024-01-24,2024-11-16,98,0.000497,1.266,1.3192,-0.0532,0.6324,False,solar.bun_hs1#realenergyintotheload#kwh
