year_month,PI,meter,month_ts
2023-09,1.64585226747355,solar.bun_hu3#realenergyintotheload#kwh,2023-09-01
2023-10,1.3629661342285555,solar.bun_hu3#realenergyintotheload#kwh,2023-10-01
2023-11,0.6131967136852043,solar.bun_hu3#realenergyintotheload#kwh,2023-11-01
2023-12,0.31870516285942957,solar.bun_hu3#realenergyintotheload#kwh,2023-12-01
2024-01,0.8100449657970688,solar.bun_hu3#realenergyintotheload#kwh,2024-01-01
2024-02,1.777254563132453,solar.bun_hu3#realenergyintotheload#kwh,2024-02-01
2024-03,0.6307072804376044,solar.bun_hu3#realenergyintotheload#kwh,2024-03-01
2024-04,1.0436172849785055,solar.bun_hu3#realenergyintotheload#kwh,2024-04-01
2024-05,1.3229624110798217,solar.bun_hu3#realenergyintotheload#kwh,2024-05-01
2024-06,1.0003294278121075,solar.bun_hu3#realenergyintotheload#kwh,2024-06-01
2024-08,1.1421553556218336,solar.bun_hu3#realenergyintotheload#kwh,2024-08-01
2024-09,1.1375024202658877,solar.bun_hu3#realenergyintotheload#kwh,2024-09-01
2024-10,1.2862899501661302,solar.bun_hu3#realenergyintotheload#kwh,2024-10-01
2024-11,1.3290862658441212,solar.bun_hu3#realenergyintotheload#kwh,2024-11-01
2024-12,0.00014404989374384308,solar.bun_hu3#realenergyintotheload#kwh,2024-12-01
2025-01,0.00012062512115616428,solar.bun_hu3#realenergyintotheload#kwh,2025-01-01
2025-02,0.34209326568835596,solar.bun_hu3#realenergyintotheload#kwh,2025-02-01
2025-03,0.32994652554693094,solar.bun_hu3#realenergyintotheload#kwh,2025-03-01
2025-04,0.3112881312619136,solar.bun_hu3#realenergyintotheload#kwh,2025-04-01
2025-05,0.3826020145710191,solar.bun_hu3#realenergyintotheload#kwh,2025-05-01
2025-06,0.260727855031857,solar.bun_hu3#realenergyintotheload#kwh,2025-06-01
2025-07,0.1957652862492397,solar.bun_hu3#realenergyintotheload#kwh,2025-07-01
2025-08,0.3027641610745053,solar.bun_hu3#realenergyintotheload#kwh,2025-08-01
2020-06,0.03281880810054141,solar.bun_library#realenergyintotheload#kwh,2020-06-01
2020-07,0.8098276313469082,solar.bun_library#realenergyintotheload#kwh,2020-07-01
2020-08,1.0157014889242304,solar.bun_library#realenergyintotheload#kwh,2020-08-01
2020-09,1.1383143230465362,solar.bun_library#realenergyintotheload#kwh,2020-09-01
2020-10,1.022085756966762,solar.bun_library#realenergyintotheload#kwh,2020-10-01
2020-11,0.37022852245033167,solar.bun_library#realenergyintotheload#kwh,2020-11-01
2020-12,0.4971851478485054,solar.bun_library#realenergyintotheload#kwh,2020-12-01
2021-01,0.6526787194052079,solar.bun_library#realenergyintotheload#kwh,2021-01-01
2021-02,1.0236983086356624,solar.bun_library#realenergyintotheload#kwh,2021-02-01
2021-03,0.48936397981403057,solar.bun_library#realenergyintotheload#kwh,2021-03-01
2021-04,0.8796117657441345,solar.bun_library#realenergyintotheload#kwh,2021-04-01
2021-05,1.3804473344585515,solar.bun_library#realenergyintotheload#kwh,2021-05-01
2021-06,0.7636206432538721,solar.bun_library#realenergyintotheload#kwh,2021-06-01
2021-07,0.8869911357033866,solar.bun_library#realenergyintotheload#kwh,2021-07-01
2021-08,0.9927133202231777,solar.bun_library#realenergyintotheload#kwh,2021-08-01
2021-09,1.076648797816476,solar.bun_library#realenergyintotheload#kwh,2021-09-01
2021-10,1.0592606327021605,solar.bun_library#realenergyintotheload#kwh,2021-10-01
2021-11,0.5034700033927879,solar.bun_library#realenergyintotheload#kwh,2021-11-01
2021-12,0.9665316601355007,solar.bun_library#realenergyintotheload#kwh,2021-12-01
2022-01,0.9875717192863555,solar.bun_library#realenergyintotheload#kwh,2022-01-01
2022-02,1.2771732930460082,solar.bun_library#realenergyintotheload#kwh,2022-02-01
2022-03,0.446498581358074,solar.bun_library#realenergyintotheload#kwh,2022-03-01
2022-04,0.8243601075998077,solar.bun_library#realenergyintotheload#kwh,2022-04-01
2022-05,0.8269446336061792,solar.bun_library#realenergyintotheload#kwh,2022-05-01
2022-06,0.744057593346493,solar.bun_library#realenergyintotheload#kwh,2022-06-01
2022-07,0.8578131287090557,solar.bun_library#realenergyintotheload#kwh,2022-07-01
2022-08,0.9740220206388315,solar.bun_library#realenergyintotheload#kwh,2022-08-01
2022-09,0.7692137432811095,solar.bun_library#realenergyintotheload#kwh,2022-09-01
2022-10,0.9375060691430673,solar.bun_library#realenergyintotheload#kwh,2022-10-01
2022-11,0.9883457743221677,solar.bun_library#realenergyintotheload#kwh,2022-11-01
2023-01,0.6173276155460012,solar.bun_library#realenergyintotheload#kwh,2023-01-01
2023-02,0.8569978904562866,solar.bun_library#realenergyintotheload#kwh,2023-02-01
2023-03,0.3209039524765248,solar.bun_library#realenergyintotheload#kwh,2023-03-01
2023-04,0.8337579605154501,solar.bun_library#realenergyintotheload#kwh,2023-04-01
2023-05,0.49685334937059583,solar.bun_library#realenergyintotheload#kwh,2023-05-01
2023-06,0.5964275515869444,solar.bun_library#realenergyintotheload#kwh,2023-06-01
2023-07,0.8674473692521731,solar.bun_library#realenergyintotheload#kwh,2023-07-01
2023-08,0.7505008872234229,solar.bun_library#realenergyintotheload#kwh,2023-08-01
2023-09,1.2315760541521563,solar.bun_library#realenergyintotheload#kwh,2023-09-01
2023-10,1.1413883146234562,solar.bun_library#realenergyintotheload#kwh,2023-10-01
2023-11,0.43521819906238074,solar.bun_library#realenergyintotheload#kwh,2023-11-01
2023-12,0.19220859977971944,solar.bun_library#realenergyintotheload#kwh,2023-12-01
2024-01,8.471082441924937e-05,solar.bun_library#realenergyintotheload#kwh,2024-01-01
2024-02,0.0031811105912944895,solar.bun_library#realenergyintotheload#kwh,2024-02-01
2024-03,0.5265268176617919,solar.bun_library#realenergyintotheload#kwh,2024-03-01
2024-04,0.791769613193666,solar.bun_library#realenergyintotheload#kwh,2024-04-01
2024-08,1.6560055666258058,solar.bun_library#realenergyintotheload#kwh,2024-08-01
2024-09,0.6751700139489613,solar.bun_library#realenergyintotheload#kwh,2024-09-01
2024-10,1.0773149300591345,solar.bun_library#realenergyintotheload#kwh,2024-10-01
2024-11,0.9910236540619358,solar.bun_library#realenergyintotheload#kwh,2024-11-01
2024-12,1.1061907069148735,solar.bun_library#realenergyintotheload#kwh,2024-12-01
2025-01,1.017404117449235,solar.bun_library#realenergyintotheload#kwh,2025-01-01
2025-02,1.1502210747777046,solar.bun_library#realenergyintotheload#kwh,2025-02-01
2025-03,1.030972022761676,solar.bun_library#realenergyintotheload#kwh,2025-03-01
2025-04,0.9304816827827147,solar.bun_library#realenergyintotheload#kwh,2025-04-01
2025-05,0.9875451959133356,solar.bun_library#realenergyintotheload#kwh,2025-05-01
2025-06,0.6910455040810246,solar.bun_library#realenergyintotheload#kwh,2025-06-01
2025-07,0.8802913858238501,solar.bun_library#realenergyintotheload#kwh,2025-07-01
